EMPLOYEE_ID,FIRST_NAME,LAST_NAME,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID,Test
198,Donald,OConnell,650.507.9833,21-JUN-07,SH_CLERK,2600, - ,124,50,s
199,Douglas,Grant,650.507.9844,13-JAN-08,SH_CLERK,2600, - ,124,50,ss
200,Jennifer,Whalen,515.123.4444,17-SEP-03,AD_ASST,4400, - ,101,10,
201,Michael,Hartstein,515.123.5555,17-FEB-04,MK_MAN,13000, - ,100,20,
202,Pat,Fay,603.123.6666,17-AUG-05,MK_REP,6000, - ,201,20,ss
203,Susan,Mavris,515.123.7777,07-JUN-02,HR_REP,6500, - ,101,40,
204,Hermann,Baer,515.123.8888,07-JUN-02,PR_REP,10000, - ,101,70,
205,Shelley,Higgins,515.123.8080,07-JUN-02,AC_MGR,12008, - ,101,110,alex
206,William,Gietz,515.123.8181,07-JUN-02,AC_ACCOUNT,8300, - ,205,110,
100,Steven,King,515.123.4567,17-JUN-03,AD_PRES,24000, - , - ,90,
101,Neena,Kochhar,515.123.4568,21-SEP-05,AD_VP,17000, - ,100,90,albeer
102,Lex,De Haan,515.123.4569,13-JAN-01,AD_VP,17000, - ,100,90,
103,Alexander,Hunold,590.423.4567,03-JAN-06,IT_PROG,9000, - ,102,60,
104,Bruce,Ernst,590.423.4568,21-MAY-07,IT_PROG,6000, - ,103,60,python
105,David,Austin,590.423.4569,25-JUN-05,IT_PROG,4800, - ,103,60,
